name
"Cosmos cv8x8x8 v1.0"
"AE"
"FLUX.2 VAE"
"Hunyuan Video VAE"
"SD3.5 VAE"
"Wan2.1 VAE"
"Wan2.2 VAE"
"Qwen-Image VAE"
