name
T5-xxl v1.0
T5-xxl v1.1
CLIP L
CLIP L HiDream
CLIP G
CLIP G HiDream
CLIP Vision H
Gemma 3 12B IT
Llama 3.1 8B Instruct
Llava Llama 3 8B
LTX-2 Embeddings Connector Dev
LTX-2 Embeddings Connector Distilled
Mistral 3.2 Small VLM
UMT5-xxl
Llava Llama 3 Vision
Qwen2.5 VL 7B
Qwen3 4B
Wan2vec2 Large
